City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,-14.64,96,100,2.73,CA,1675645752
1,hilo,19.7297,-155.09,25.71,88,75,2.24,US,1675645754
2,punta arenas,-53.15,-70.9167,10.06,71,75,9.26,CL,1675645474
3,cherskiy,68.75,161.3,-39.53,100,100,1.98,RU,1675645754
4,new norfolk,-42.7826,147.0587,22.18,54,50,2.68,AU,1675645754
5,itea,38.4333,22.4167,4.44,74,100,3.13,GR,1675645755
6,valdivia,-39.8142,-73.2459,20.05,79,0,0.54,CL,1675645756
7,kolno,53.4115,21.9291,-4.24,82,100,1.69,PL,1675645757
8,matay,28.419,30.7792,10.35,37,0,3.88,EG,1675645757
9,santiago,-33.4569,-70.6483,25.86,49,0,4.63,CL,1675645134
10,pyshma,56.9523,63.2513,-19.0,100,100,0.8,RU,1675645758
11,livingston,55.9029,-3.5226,5.62,82,75,4.12,GB,1675645758
12,buala,-8.145,159.5921,24.94,93,100,4.83,SB,1675645758
13,clyde river,70.4692,-68.5914,-28.25,81,94,2.84,CA,1675645759
14,college,64.8569,-147.8028,-13.84,81,40,2.57,US,1675645759
15,carnarvon,-24.8667,113.6333,26.87,62,0,7.38,AU,1675645760
16,provideniya,64.3833,-173.3,-13.94,72,100,8.05,RU,1675645760
17,waitati,-45.75,170.5667,21.56,57,44,5.91,NZ,1675645760
18,caravelas,-17.7125,-39.2481,25.75,83,1,4.72,BR,1675645653
19,lorengau,-2.0226,147.2712,28.48,76,100,2.07,PG,1675645761
20,mahebourg,-20.4081,57.7,26.25,82,100,4.96,MU,1675645763
21,esso,55.9333,158.7,-10.66,89,100,1.14,RU,1675645763
22,vanimo,-2.6741,141.3028,26.16,86,100,0.54,PG,1675645763
23,port elizabeth,-33.918,25.5701,23.94,99,91,3.58,ZA,1675645764
24,cabo san lucas,22.8909,-109.9124,26.17,33,0,5.14,MX,1675645764
25,tura,25.5198,90.2201,13.2,53,0,1.62,IN,1675645765
26,tiksi,71.6872,128.8694,-31.82,100,100,1.52,RU,1675645765
27,nanortalik,60.1432,-45.2371,-7.18,77,100,12.98,GL,1675645766
28,ust-maya,60.4167,134.5333,-36.62,100,100,0.83,RU,1675645766
29,cidreira,-30.1811,-50.2056,23.0,81,100,3.93,BR,1675645766
30,bethel,41.3712,-73.414,4.93,68,0,0.0,US,1675645603
31,mataura,-46.1927,168.8643,16.85,69,98,4.9,NZ,1675645767
32,fortuna,40.5982,-124.1573,9.25,92,98,0.45,US,1675645767
33,ostrovnoy,68.0531,39.5131,-10.97,92,100,7.15,RU,1675645738
34,upernavik,72.7868,-56.1549,-25.15,94,100,3.04,GL,1675645718
35,batemans bay,-35.7167,150.1833,23.39,56,0,3.6,AU,1675645768
36,saskylakh,71.9167,114.0833,-41.73,100,94,1.72,RU,1675645768
37,kerema,-7.9631,145.7785,28.4,73,99,2.81,PG,1675645769
38,port lincoln,-34.7333,135.8667,19.69,67,4,6.08,AU,1675645769
39,beipiao,41.7919,120.7792,-4.99,44,6,1.41,CN,1675645769
40,murgab,37.4966,61.9714,4.63,86,0,3.58,TM,1675645770
41,castro,-24.7911,-50.0119,17.5,84,9,2.52,BR,1675645741
42,chuy,-33.6971,-53.4616,18.95,81,0,2.26,UY,1675645770
43,chokurdakh,70.6333,147.9167,-41.07,100,95,0.43,RU,1675645770
44,ushuaia,-54.8,-68.3,6.81,65,40,10.8,AR,1675645602
45,atuona,-9.8,-139.0333,25.98,74,19,7.84,PF,1675645771
46,albany,42.6001,-73.9662,4.94,58,100,2.11,US,1675645225
47,arman,59.7,150.1667,-22.62,77,97,3.56,RU,1675645773
48,tiznit,29.5833,-9.5,9.71,44,6,0.56,MA,1675645773
49,qaanaaq,77.484,-69.3632,-18.74,52,95,1.14,GL,1675645715
50,rio brilhante,-21.8019,-54.5464,22.08,77,21,1.06,BR,1675645774
51,alta floresta,-9.8756,-56.0861,22.66,94,100,1.16,BR,1675645774
52,sola,-13.8833,167.55,27.25,79,100,6.35,VU,1675645774
53,rikitea,-23.1203,-134.9692,26.19,75,3,6.27,PF,1675645775
54,rabo de peixe,37.8,-25.5833,14.73,82,75,4.63,PT,1675645775
55,hobart,-42.8794,147.3294,22.37,50,40,10.29,AU,1675645776
56,barrow,71.2906,-156.7887,-27.99,76,100,1.54,US,1675645776
57,salinopolis,-0.6136,-47.3561,25.27,89,100,4.57,BR,1675645777
58,cartagena,10.3997,-75.5144,26.79,78,40,2.57,CO,1675645196
59,nabire,-3.3667,135.4833,27.96,77,100,0.91,ID,1675645777
60,verkhnyaya inta,65.9811,60.3094,-14.01,95,99,4.47,RU,1675645777
61,aubenas,44.6201,4.3899,6.2,75,39,4.82,FR,1675645778
62,aswan,24.0934,32.907,14.87,33,38,2.83,EG,1675645778
63,axim,4.8699,-2.2405,26.62,88,62,4.38,GH,1675645779
64,akyab,20.15,92.9,16.88,54,7,2.6,MM,1675645779
65,lavrentiya,65.5833,-171.0,-19.51,88,100,4.14,RU,1675645779
66,nikolskoye,59.7035,30.7861,-3.06,94,100,3.2,RU,1675645780
67,adrar,20.5022,-10.0711,14.24,29,100,4.47,MR,1675645781
68,sitka,57.0531,-135.33,5.94,61,100,10.29,US,1675645781
69,berlevag,70.8578,29.0864,4.0,81,100,11.83,NO,1675645781
70,vaini,-21.2,-175.2,27.41,70,97,4.79,TO,1675645782
71,djougou,9.7085,1.666,26.01,15,99,1.62,BJ,1675645782
72,batagay-alyta,67.8006,130.4114,-32.52,99,100,0.32,RU,1675645783
73,mar del plata,-38.0023,-57.5575,27.01,50,0,4.12,AR,1675645568
74,aklavik,68.2191,-135.0107,-39.72,100,28,0.74,CA,1675645783
75,kapaa,22.0752,-159.319,26.99,83,100,4.12,US,1675645783
76,manavgat,36.7867,31.4431,7.97,88,100,1.79,TR,1675645784
77,hermanus,-34.4187,19.2345,21.56,88,18,5.0,ZA,1675645784
78,hambantota,6.1241,81.1185,23.19,100,40,1.54,LK,1675645785
79,avarua,-21.2078,-159.775,25.03,88,75,6.17,CK,1675645737
80,hithadhoo,-0.6,73.0833,27.18,70,97,4.68,MV,1675645785
81,butaritari,3.0707,172.7902,26.91,83,100,7.6,KI,1675645786
82,airai,-8.9266,125.4092,20.41,73,89,1.55,TL,1675645787
83,luderitz,-26.6481,15.1594,16.48,94,92,3.02,NA,1675645787
84,samarai,-10.6167,150.6667,27.88,79,99,5.25,PG,1675645788
85,sindor,62.8629,51.8905,-24.65,100,100,0.66,RU,1675645788
86,hasaki,35.7333,140.8333,10.16,70,3,3.04,JP,1675645789
87,arraial do cabo,-22.9661,-42.0278,24.28,91,94,3.45,BR,1675645740
88,ribeira grande,38.5167,-28.7,16.54,91,100,6.71,PT,1675645789
89,port-cartier,50.0334,-66.8654,-17.92,96,100,1.93,CA,1675645790
90,sergeyevka,53.88,67.4158,-14.62,96,100,3.03,KZ,1675645791
91,negombo,7.2083,79.8358,24.03,88,20,4.12,LK,1675645645
92,broome,42.2506,-75.833,5.37,64,100,4.63,US,1675645791
93,rocha,-34.4833,-54.3333,17.39,88,0,1.96,UY,1675645792
